zho_Hans,Chinese (Simplified),Chinese Han Dialects (Mandarin)
zho_Hant,Chinese (Traditional),Chinese Han Dialects (Mandarin)
ind_Latn,Indonesian,Southeast Asian
kor_Hang,Korean,Northeast Asian
jpn_Jpan,Japanese,Northeast Asian
lao_Laoo,Lao,Southeast Asian
mya_Mymr,Burmese,Southeast Asian
tha_Thai,Thai,Southeast Asian
vie_Latn,Vietnamese,Southeast Asian
zsm_Latn,Standard Malay,Southeast Asian
bod_Tibt,Standard Tibetan,Chinese Ethnic Minorities
kac_Latn,Jingpho,Chinese Ethnic Minorities
kaz_Cyrl,Kazakh,Chinese Ethnic Minorities
uzn_Latn,Northern Uzbek,Chinese Ethnic Minorities
khk_Cyrl,Halh Mongolian,Chinese Ethnic Minorities
